Rule Name,DE#,Rule Owner,Created At,Updated At
SPS_MFDS1ML1_COL_IST_GSE_GID,0,Yi Zhao (8018750),2015-07-22 03:42:45,2015-07-22 04:06:49
SPS_rtsx_BDH_BDHxOR_XDH_XDHxOR_IRG_IRQxOR,,Yi Zhao (8018750),2015-06-11 11:30:54,2015-06-11 11:39:47
SPS_MSR_CPX_KWX_RIY_PSE_IX_PX1_GLD_ARE_ARExOR,0,Yi Zhao (8018750),2015-06-11 08:21:29,2015-06-11 10:40:22
SPS_TOM_SGD_FNR,0,Yi Zhao (8018750),2015-06-11 08:02:20,2015-06-11 08:09:52
SPS_AEQ,,Yi Zhao (8018750),2015-03-03 11:36:00,2015-04-24 09:53:56
SPS_HSI,,Yi Zhao (8018750),2015-03-03 11:15:49,2015-03-03 11:16:24
SPS_HKxOR_INE_BD_TW_AM_BOV_CDD_JSEJB_MXXMS,,Yi Zhao (8018750),2015-01-05 10:05:43,2015-06-11 08:17:21
SPS_AQxL1_HKFxOR_TSxL1_NBxL1_OxOR,,Yi Zhao (8018750),2015-01-05 09:55:22,2015-06-11 08:14:22
SPS_JSE_MXX_NSEI_ENP,,Yi Zhao (8018750),2015-01-05 09:45:59,2015-04-24 09:50:37
SPS_CL_TCO_TIF_CNL_DEL_ICC_ICL,,Yi Zhao (8018750),2015-01-05 09:26:34,2015-06-15 10:40:23
SPS_JNX_SGE_SSE_HK_AL_TL_TIN,,Yi Zhao (8018750),2015-01-05 09:14:41,2015-06-11 11:43:44
SPS_PNK,,Yi Zhao (8018750),2015-01-05 07:55:18,2015-01-05 07:55:58
SPS_ESO,,Yi Zhao (8018750),2015-01-05 07:52:36,2015-01-05 07:53:13
SPS_OB,,Yi Zhao (8018750),2015-01-05 07:51:39,2015-01-05 07:52:19
SPS_O,,Yi Zhao (8018750),2015-01-05 07:50:36,2015-01-06 03:58:43
SPS_PEX,,Yi Zhao (8018750),2015-01-05 07:49:41,2015-01-05 07:50:20
SPS_ONE,,Yi Zhao (8018750),2015-01-05 07:48:38,2015-01-05 07:49:17
SPS_AAL,,Yi Zhao (8018750),2015-01-05 07:47:33,2015-01-05 07:48:17
SPS_LT,,Yi Zhao (8018750),2015-01-05 07:46:18,2015-06-15 10:36:43
SPS_EN,,Yi Zhao (8018750),2015-01-05 07:45:23,2015-01-05 07:46:02
SPS_ENA,,Yi Zhao (8018750),2015-01-05 07:44:31,2015-01-05 07:45:05
SPS_NAL,,Yi Zhao (8018750),2015-01-05 07:43:00,2015-01-12 10:32:55
SPS_ENL,,Yi Zhao (8018750),2015-01-05 07:42:07,2015-01-05 07:42:45
SPS_S,,Yi Zhao (8018750),2015-01-05 07:40:59,2015-03-03 11:30:05
SPS_QNI,,Yi Zhao (8018750),2015-01-05 07:40:05,2015-01-05 07:40:44
SPS_NB,,Yi Zhao (8018750),2015-01-05 07:38:37,2015-01-05 07:39:41
SPS_NA,,Yi Zhao (8018750),2015-01-05 07:37:30,2015-01-05 07:38:13
SPS_MKI,,Yi Zhao (8018750),2015-01-05 07:36:23,2015-01-05 07:37:05
SPS_MM,,Yi Zhao (8018750),2015-01-05 07:34:11,2015-01-05 07:36:03
SPS_MKX,,Yi Zhao (8018750),2015-01-05 07:33:13,2015-01-05 07:33:57
SPS_TQ,,Yi Zhao (8018750),2015-01-05 07:30:32,2015-01-05 07:32:55
SPS_LS,,Yi Zhao (8018750),2015-01-05 07:29:40,2015-01-05 07:30:17
SPS_EDX,,Yi Zhao (8018750),2015-01-05 07:28:42,2015-01-05 07:29:25
SPS_MTL,,Yi Zhao (8018750),2015-01-05 07:27:51,2015-01-05 07:28:27
SPS_ML,,Yi Zhao (8018750),2015-01-05 07:26:52,2015-01-05 07:27:32
SPS_KO,,Yi Zhao (8018750),2015-01-05 07:25:54,2015-01-05 07:26:33
SPS_TS,,Yi Zhao (8018750),2015-01-05 07:25:00,2015-06-15 10:34:24
SPS_OS,,Yi Zhao (8018750),2015-01-05 07:23:52,2015-01-05 07:24:37
SPS_LIB,,Yi Zhao (8018750),2015-01-05 07:22:47,2015-01-05 07:23:33
SPS_ISD,,Yi Zhao (8018750),2015-01-05 07:21:31,2015-01-05 07:22:15
SPS_HKF,,Yi Zhao (8018750),2015-01-05 07:20:18,2015-01-05 07:21:13
SPS_EBF,,Yi Zhao (8018750),2015-01-05 07:18:08,2015-01-05 07:18:52
SPS_XE,,Yi Zhao (8018750),2015-01-05 07:17:10,2015-01-05 07:17:47
SPS_CH,,Yi Zhao (8018750),2015-01-05 07:15:59,2015-01-05 07:16:48
SPS_EM,,Yi Zhao (8018750),2015-01-05 07:14:47,2015-01-05 07:15:36
SPS_CFC,,Yi Zhao (8018750),2015-01-05 07:13:47,2015-01-05 07:14:31
SPS_MGE,,Yi Zhao (8018750),2015-01-05 07:12:48,2015-01-05 07:13:25
SPS_CSF,,Yi Zhao (8018750),2015-01-05 07:11:41,2015-01-05 07:12:26
SPS_CM,,Yi Zhao (8018750),2015-01-05 07:10:40,2015-06-15 10:31:57
SPS_CB,,Yi Zhao (8018750),2015-01-05 07:09:41,2015-01-05 07:10:23
SPS_CXD,,Yi Zhao (8018750),2015-01-05 07:08:37,2015-01-05 07:09:24
SPS_CXC,,Yi Zhao (8018750),2015-01-05 07:07:34,2015-01-05 07:08:21
SPS_CXJ,,Yi Zhao (8018750),2015-01-05 07:06:15,2015-01-05 07:07:00
SPS_CX,,Yi Zhao (8018750),2015-01-05 07:04:04,2015-01-05 07:04:50
SPS_ECA,,Yi Zhao (8018750),2015-01-05 07:02:42,2015-01-05 07:03:43
SPS_CXT,,Yi Zhao (8018750),2015-01-05 07:01:39,2015-01-05 07:02:25
SPS_CFT,,Yi Zhao (8018750),2015-01-05 06:50:56,2015-01-05 06:53:21
SPS_CF,,Yi Zhao (8018750),2015-01-05 06:49:38,2015-01-05 06:50:25
SPS_PL,,Yi Zhao (8018750),2015-01-05 06:48:33,2015-01-05 06:49:19
SPS_QD,,Yi Zhao (8018750),2015-01-05 06:47:20,2015-01-05 06:48:10
SPS_ST,,Yi Zhao (8018750),2015-01-05 06:45:57,2015-01-05 06:46:59
SPS_BME,,Yi Zhao (8018750),2015-01-05 06:44:33,2015-01-05 06:45:39
SPS_BS,,Yi Zhao (8018750),2015-01-05 06:43:13,2015-03-03 11:12:27
SPS_BA,,Yi Zhao (8018750),2015-01-05 06:40:25,2015-01-05 06:42:43
SPS_BR,,Yi Zhao (8018750),2015-01-05 06:38:08,2015-01-05 06:39:35
SPS_ASX,,Yi Zhao (8018750),2015-01-05 06:33:56,2015-01-05 06:35:15
SPS_AQ,,Yi Zhao (8018750),2015-01-05 06:28:43,2015-01-05 06:33:11
Derivative_v1oi1_RICs_2,56430,Yazhen Sun (0132456),2014-12-10 11:10:53,2015-04-15 06:59:34
UDMGSKl_BS,,Robel Yemane (6023996),2014-11-21 10:15:21,2014-11-21 15:55:48
UDMGEZ5,,Robel Yemane (6023996),2014-11-21 10:05:40,2014-11-21 10:11:42
UDMEURUSDLMX,,Robel Yemane (6023996),2014-11-21 09:18:35,2014-11-21 16:05:38
Consolidate_RIC,,Krishna Menakath (8010731),2014-11-11 14:06:34,2014-11-11 14:07:16
SPBMI,,Krishna Menakath (8010731),2014-08-20 09:29:36,2014-09-09 14:36:55
SPS_TOP,,Yi Zhao (8018750),2014-07-23 09:29:08,2015-07-23 02:22:34
Derivative_v1 &cv1_RICs,56430,Yi Zhang (8009719),2014-05-23 08:15:01,2015-05-15 10:32:26
OSLO_NIBOR,55571,Anna Pakeizer (0154564),2014-04-14 14:37:44,2014-05-20 11:31:43
CBS_CHFQQ_CADQQ,24067,Pongsapuck Vorakitpokatorn (8000482),2013-10-08 08:56:07,2014-06-15 06:07:29
